Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0.0145	0.04663323	0.002006691	0.28555047	21.506689	0.009553
0.01455	0.05995723	0.0020209954	0.28662612	21.519196	0.009553
0.0146	0.00666223000000001	0.0020353536	0.28770239	21.531704	0.009553
0.01465	-0.07328077	0.0020497656	0.28877929	21.544211	0.009553
0.0147	0.03330923	0.0020642315	0.28985681	21.556718	0.009553
0.01475	0.09992823	0.0020787513	0.29093496	21.569225	0.009553
0.0148	0.01998523	0.002093325	0.29201373	21.581733	0.009553
0.01485	0.00666223000000001	0.0021079527	0.29309313	21.59424	0.009553
0.0149	-0.01998577	0.0021226344	0.29417316	21.606747	0.009553
0.01495	0.08660423	0.00213737	0.29525381	21.619255	0.009553
0.015	0.04663323	0.0021521598	0.29633508	21.631762	0.009553
0.01505	0.07328123	0.0021670036	0.29741698	21.644269	0.009553
0.0151	-0.05995677	0.0021819015	0.29849951	21.656776	0.009553
0.01515	-0.01998577	0.0021968535	0.29958266	21.669284	0.009553
0.0152	0.07328123	0.0022118597	0.30066644	21.681791	0.009553
0.01525	0.07328123	0.0022269202	0.30175084	21.694298	0.010747
0.0153	0.01998523	0.0022420348	0.30283587	21.706805	0.010747
0.01535	0.00666223000000001	0.0022572038	0.30392152	21.719313	0.010747
0.0154	0.08660423	0.002272427	0.3050078	21.73182	0.010747
0.01545	0.03330923	0.0022877046	0.3060947	21.744327	0.010747
0.0155	0.03330923	0.0023030365	0.30718223	21.756834	0.010747
0.01555	0.01998523	0.0023184228	0.30827039	21.769342	0.010747
0.0156	0.03330923	0.0023338635	0.30935917	21.781849	0.010747
0.01565	0.07328123	0.0023493587	0.31044857	21.794356	0.010747
0.0157	0.03330923	0.0023649084	0.3115386	21.806863	0.010747
0.01575	-0.08660477	0.0023805126	0.31262926	21.819371	0.010747
0.0158	0.04663323	0.0023961713	0.31372054	21.831878	0.010747
0.01585	0.08660423	0.0024118847	0.31481244	21.844385	0.010747
0.0159	0.03330923	0.0024276526	0.31590498	21.856893	0.010747
0.01595	0.00666223000000001	0.0024434752	0.31699813	21.8694	0.010747
0.016	-0.03330977	0.0024593524	0.31809192	21.881907	0.010747
0.01605	0.13989923	0.0024752844	0.31918632	21.894414	0.010747
0.0161	0.07328123	0.0024912711	0.32028136	21.906922	0.010747
0.01615	0.03330923	0.0025073125	0.32137702	21.919429	0.010747
0.0162	0.04663323	0.0025234088	0.3224733	21.931936	0.010747
0.01625	0.05995723	0.0025395598	0.32357021	21.944443	0.010747
0.0163	0.12657623	0.0025557658	0.32466775	21.956951	0.010747
0.01635	0.04663323	0.0025720266	0.32576591	21.969458	0.010747
0.0164	-0.03330977	0.0025883424	0.32686469	21.981965	0.010747
0.01645	0.07328123	0.0026047131	0.3279641	21.994472	0.010747
0.0165	0.11325223	0.0026211388	0.32906414	22.00698	0.010747
0.01655	0.04663323	0.0026376195	0.3301648	22.019487	0.010747
0.0166	0.01998523	0.0026541553	0.33126609	22.031994	0.011942
0.01665	-0.01998577	0.0026707462	0.332368	22.044502	0.011942
0.0167	0.11325223	0.0026873921	0.33347054	22.057009	0.011942
0.01675	0.01998523	0.0027040932	0.3345737	22.069516	0.011942
0.0168	0.00666223000000001	0.0027208495	0.33567749	22.082023	0.011942
0.01685	-0.09992877	0.002737661	0.3367819	22.094531	0.011942
0.0169	0.00666223000000001	0.0027545277	0.33788694	22.107038	0.011942
0.01695	0.04663323	0.0027714497	0.33899261	22.119545	0.011942
0.017	0.00666223000000001	0.002788427	0.3400989	22.132052	0.011942
0.01705	0.00666223000000001	0.0028054596	0.34120581	22.14456	0.011942
0.0171	-0.01998577	0.0028225476	0.34231335	22.157067	0.011942
0.01715	0.08660423	0.0028396909	0.34342152	22.169574	0.011942
0.0172	0.11325223	0.0028568897	0.34453031	22.182081	0.011942
0.01725	0.03330923	0.002874144	0.34563973	22.194589	0.011942
0.0173	-0.03330977	0.0028914537	0.34674977	22.207096	0.011942
0.01735	0.00666223000000001	0.002908819	0.34786044	22.219603	0.011942
0.0174	0.03330923	0.0029262398	0.34897173	22.23211	0.011942
0.01745	0.04663323	0.0029437161	0.35008365	22.244618	0.011942
0.0175	-0.01998577	0.0029612481	0.35119619	22.257125	0.011942
0.01755	0.01998523	0.0029788358	0.35230936	22.269632	0.011942
0.0176	0.08660423	0.0029964791	0.35342315	22.28214	0.011942
0.01765	0.04663323	0.0030141781	0.35453757	22.294647	0.011942
0.0177	0.04663323	0.0030319329	0.35565262	22.307154	0.011942
0.01775	-0.00666176999999999	0.0030497434	0.35676829	22.319661	0.011942
0.0178	0.05995723	0.0030676097	0.35788458	22.332169	0.011942
0.01785	0.01998523	0.0030855318	0.35900151	22.344676	0.013136
0.0179	0.01998523	0.0031035099	0.36011905	22.357183	0.013136
0.01795	-0.12657577	0.0031215438	0.36123722	22.36969	0.013136
0.018	0.00666223000000001	0.0031396336	0.36235602	22.382198	0.013136
0.01805	0.08660423	0.0031577794	0.36347544	22.394705	0.013136
0.0181	0.03330923	0.0031759811	0.36459549	22.407212	0.013136
0.01815	-0.05995677	0.0031942389	0.36571617	22.419719	0.013136
0.0182	-0.04663277	0.0032125528	0.36683746	22.432227	0.013136
0.01825	0.07328123	0.0032309227	0.36795939	22.444734	0.013136
0.0183	0.07328123	0.0032493487	0.36908194	22.457241	0.013136
0.01835	-0.00666176999999999	0.0032678309	0.37020511	22.469748	0.013136
0.0184	-0.07328077	0.0032863692	0.37132891	22.482256	0.013136
0.01845	0.00666223000000001	0.0033049638	0.37245334	22.494763	0.013136
0.0185	0.04663323	0.0033236146	0.37357839	22.50727	0.013136
0.01855	0.03330923	0.0033423216	0.37470406	22.519778	0.013136
0.0186	-0.05995677	0.003361085	0.37583037	22.532285	0.013136
0.01865	0.01998523	0.0033799047	0.37695729	22.544792	0.013136
0.0187	0.08660423	0.0033987807	0.37808485	22.557299	0.013136
0.01875	0.01998523	0.0034177132	0.37921302	22.569807	0.013136
0.0188	0.01998523	0.003436702	0.38034183	22.582314	0.013136
0.01885	-0.01998577	0.0034557474	0.38147125	22.594821	0.013136
