VARIABLES = t,Cd_p,Cd_v
ZONE
 1.404000E+000 1.840343E+000 3.459191E-001
 1.407000E+000 1.705483E+000 3.469993E-001
 1.410000E+000 1.660396E+000 3.477179E-001
 1.413000E+000 1.759070E+000 3.409768E-001
 1.416000E+000 1.771864E+000 3.405003E-001
 1.419000E+000 1.817730E+000 3.411691E-001
 1.422000E+000 1.771004E+000 3.418754E-001
 1.425000E+000 1.675444E+000 3.427859E-001
 1.428000E+000 1.663510E+000 3.435071E-001
 1.431000E+000 1.748998E+000 3.361565E-001
 1.434000E+000 1.783601E+000 3.363304E-001
 1.437000E+000 1.839390E+000 3.370742E-001
 1.440000E+000 1.706044E+000 3.381093E-001
 1.443000E+000 1.653767E+000 3.388540E-001
 1.446000E+000 1.751200E+000 3.324610E-001
 1.449000E+000 1.758525E+000 3.319058E-001
 1.452000E+000 1.801478E+000 3.325752E-001
 1.455000E+000 1.778395E+000 3.332943E-001
 1.458000E+000 1.670936E+000 3.342426E-001
 1.461000E+000 1.649457E+000 3.349655E-001
 1.464000E+000 1.745125E+000 3.279313E-001
 1.467000E+000 1.771105E+000 3.280323E-001
 1.470000E+000 1.829051E+000 3.288889E-001
 1.473000E+000 1.710375E+000 3.298205E-001
 1.476000E+000 1.650461E+000 3.306072E-001
 1.479000E+000 1.745120E+000 3.245614E-001
 1.482000E+000 1.746747E+000 3.239243E-001
 1.485000E+000 1.787086E+000 3.245737E-001
 1.488000E+000 1.787089E+000 3.253374E-001
 1.491000E+000 1.671207E+000 3.263322E-001
 1.494000E+000 1.641889E+000 3.270561E-001
 1.497000E+000 1.737789E+000 3.203176E-001
 1.500000E+000 1.758881E+000 3.203362E-001
 1.503000E+000 1.819131E+000 3.212678E-001
 1.506000E+000 1.714798E+000 3.221359E-001
 1.509000E+000 1.647470E+000 3.229607E-001
 1.512000E+000 1.640139E+000 3.237289E-001
 1.515000E+000 1.735889E+000 3.165384E-001
 1.518000E+000 1.773871E+000 3.171438E-001
 1.521000E+000 1.795248E+000 3.179754E-001
 1.524000E+000 1.672582E+000 3.190024E-001
 1.527000E+000 1.635685E+000 3.197276E-001
 1.530000E+000 1.731331E+000 3.132775E-001
 1.533000E+000 1.747415E+000 3.131914E-001
 1.536000E+000 1.796387E+000 3.141652E-001
 1.539000E+000 1.729800E+000 3.150042E-001
 1.542000E+000 1.647053E+000 3.158629E-001
 1.545000E+000 1.637246E+000 3.166137E-001
 1.548000E+000 1.726034E+000 3.096892E-001
 1.551000E+000 1.762066E+000 3.102331E-001
 1.554000E+000 1.804468E+000 3.111596E-001
 1.557000E+000 1.675031E+000 3.122148E-001
 1.560000E+000 1.630753E+000 3.129396E-001
 1.563000E+000 1.725464E+000 3.067676E-001
 1.566000E+000 1.737335E+000 3.065857E-001
 1.569000E+000 1.782866E+000 3.075649E-001
 1.572000E+000 1.740209E+000 3.084120E-001
 1.575000E+000 1.647023E+000 3.092975E-001
 1.578000E+000 1.635142E+000 3.100297E-001
 1.581000E+000 1.717103E+000 3.033491E-001
 1.584000E+000 1.751269E+000 3.038132E-001
 1.587000E+000 1.806628E+000 3.048586E-001
 1.590000E+000 1.679021E+000 3.058709E-001
 1.593000E+000 1.627792E+000 3.066069E-001
 1.596000E+000 1.721583E+000 3.007167E-001
 1.599000E+000 1.728221E+000 3.004329E-001
 1.602000E+000 1.770870E+000 3.013927E-001
 1.605000E+000 1.750535E+000 3.022792E-001
 1.608000E+000 1.646062E+000 3.031915E-001
 1.611000E+000 1.624549E+000 3.039121E-001
 1.614000E+000 1.717298E+000 2.974769E-001
